rental_id,customer_id,rental_date,rental_status,return_date,extract_rental_year,extract_rental_month
RPNn-48420-671,829,2015-04-24,Late,2015-04-25,2015,4
Hzhs-50547-102,163,2020-09-22,Late,2020-10-04,2020,9
NtJF-60489-705,869,2015-06-16,Late,2015-07-10,2015,6
RUvf-62160-670,710,2016-06-25,Late,2016-07-19,2016,6
gake-10221-119,516,2016-07-17,Late,2016-08-15,2016,7
Xhrr-15107-829,604,2016-07-08,Late,2016-07-21,2016,7
efNH-78707-440,128,2022-09-03,Late,2022-09-07,2022,9
FxAs-68839-430,202,2023-11-20,Late,2023-11-23,2023,11
NPRU-01113-419,910,2022-04-29,Late,2022-05-20,2022,4
DBQK-23811-732,323,2018-05-05,Late,2018-05-20,2018,5
SbwG-30434-812,224,2021-01-24,Late,2021-01-29,2021,1
vhUD-43511-223,108,2017-02-07,Late,2017-02-28,2017,2
Ktcn-29097-077,260,2023-04-05,Late,2023-04-24,2023,4
ellY-77128-878,89,2017-02-24,Late,2017-03-25,2017,2
NGtc-99718-191,423,2019-01-03,Late,2019-01-07,2019,1
XapP-12637-169,326,2018-10-26,Late,2018-11-03,2018,10
LEWB-07253-016,194,2021-02-21,Late,2021-03-01,2021,2
rvJv-80037-614,456,2022-12-21,Late,2022-12-24,2022,12
EbEN-20069-290,401,2020-12-14,Late,2020-12-19,2020,12
rPFN-22401-896,543,2018-05-24,Late,2018-06-02,2018,5
GwRp-28574-103,706,2019-09-14,Late,2019-10-10,2019,9
AEAM-84949-033,718,2022-06-06,Late,2022-06-26,2022,6
olER-32188-879,826,2022-04-28,Late,2022-05-03,2022,4
nfZf-40251-796,744,2019-09-10,Late,2019-09-24,2019,9
PbXw-21701-058,95,2020-06-29,Late,2020-07-06,2020,6
rvLp-18075-682,947,2022-12-15,Late,2022-12-30,2022,12
HABR-42132-644,624,2018-09-11,Late,2018-09-21,2018,9
gZPQ-26282-090,822,2021-03-23,Late,2021-04-15,2021,3
dHXH-81052-406,136,2017-04-09,Late,2017-04-29,2017,4
wimB-16818-593,360,2020-02-01,Late,2020-02-17,2020,2
eUvY-23705-637,997,2021-06-06,Late,2021-07-02,2021,6
jVoM-27736-091,948,2015-11-21,Late,2015-12-01,2015,11
poBH-18229-939,958,2016-01-21,Late,2016-02-02,2016,1
cEfQ-14216-547,87,2020-10-30,Late,2020-11-05,2020,10
TquF-87823-749,458,2017-11-26,Late,2017-12-21,2017,11
pZSK-31481-945,448,2018-09-02,Late,2018-09-16,2018,9
oRDU-03194-345,193,2017-02-01,Late,2017-02-05,2017,2
FfZG-51527-698,745,2021-11-16,Late,2021-12-02,2021,11
EYJY-30165-045,441,2018-03-16,Late,2018-04-09,2018,3
LfAM-69298-154,731,2015-04-27,Late,2015-05-10,2015,4
ikuk-19815-484,768,2020-12-20,Late,2020-12-30,2020,12
jwGY-51685-980,797,2017-08-05,Late,2017-08-28,2017,8
yPWN-49942-023,500,2023-09-17,Late,2023-10-09,2023,9
iQSn-07298-576,734,2016-03-09,Late,2016-03-17,2016,3
JDBP-75281-979,982,2023-06-15,Late,2023-06-16,2023,6
QgYE-09787-513,149,2021-08-05,Late,2021-08-13,2021,8
tPkH-05151-042,233,2017-09-29,Late,2017-10-06,2017,9
sWHG-94259-387,415,2017-03-03,Late,2017-03-14,2017,3
FoRo-20069-511,785,2019-04-24,Late,2019-05-16,2019,4
Hrpx-16079-779,660,2017-04-04,Late,2017-05-03,2017,4
GLbH-59652-280,503,2019-08-08,Late,2019-08-11,2019,8
mIdc-72703-393,338,2023-04-03,Late,2023-04-26,2023,4
rNdc-18457-585,614,2022-02-06,Late,2022-03-05,2022,2
MWkh-88425-721,378,2021-09-16,Late,2021-10-06,2021,9
GXht-98306-394,891,2021-10-29,Late,2021-11-10,2021,10
UaWP-93760-425,906,2022-08-16,Late,2022-09-13,2022,8
SwBz-85597-059,512,2023-08-01,Late,2023-08-29,2023,8
xzoL-77907-749,49,2023-12-18,Late,2024-01-02,2023,12
WQUw-18474-401,68,2016-10-04,Late,2016-10-13,2016,10
ThUs-24731-676,746,2015-09-11,Late,2015-10-04,2015,9
ppxK-35893-240,327,2021-01-11,Late,2021-01-27,2021,1
KgSi-19191-087,973,2016-07-31,Late,2016-08-17,2016,7
BalX-03646-752,697,2023-07-10,Late,2023-07-16,2023,7
sGXJ-63931-296,134,2016-01-08,Late,2016-01-24,2016,1
opus-46597-863,166,2023-12-19,Late,2023-12-31,2023,12
