rental_id,customer_id,rental_date,rental_status,return_date,extract_rental_year,extract_rental_month
uNLr-14032-611,806,2017-07-13,Rented,,2017,7
cOLR-80286-356,369,2023-02-06,Rented,,2023,2
rUNA-37125-575,8,2020-10-31,Rented,,2020,10
pwEX-08327-691,975,2023-01-27,Rented,,2023,1
IAvq-81643-870,169,2023-03-23,Rented,,2023,3
seyA-02994-865,585,2019-12-28,Rented,,2019,12
kkZV-66519-783,244,2017-03-16,Rented,,2017,3
EBTc-66683-999,339,2017-11-09,Rented,,2017,11
kefp-90414-400,528,2017-03-02,Rented,,2017,3
QSdn-33894-925,980,2023-06-03,Rented,,2023,6
SbnH-86687-400,12,2016-07-21,Rented,,2016,7
Cxyt-97303-393,821,2021-12-19,Rented,,2021,12
JESM-83241-449,582,2017-07-06,Rented,,2017,7
Acjk-39194-000,896,2023-04-14,Rented,,2023,4
Tsax-82082-305,509,2016-02-08,Rented,,2016,2
azyC-22217-733,531,2017-10-05,Rented,,2017,10
dgVQ-51367-084,176,2021-10-28,Rented,,2021,10
PmtS-86931-106,30,2022-03-10,Rented,,2022,3
kqEO-46805-738,356,2015-05-04,Rented,,2015,5
uZyy-05067-604,610,2021-01-18,Rented,,2021,1
tuhC-90178-263,790,2018-01-23,Rented,,2018,1
uOND-53030-211,194,2015-11-28,Rented,,2015,11
UAPQ-40621-690,190,2017-01-07,Rented,,2017,1
DLfg-19620-526,556,2015-09-13,Rented,,2015,9
BDzH-19937-716,658,2019-06-26,Rented,,2019,6
qotB-21652-235,44,2016-07-04,Rented,,2016,7
Kani-28968-220,674,2020-07-26,Rented,,2020,7
qdgc-05140-552,210,2015-09-06,Rented,,2015,9
nzJb-40234-169,937,2019-10-22,Rented,,2019,10
WLTS-52017-247,125,2021-12-01,Rented,,2021,12
VYgc-23726-964,71,2023-10-12,Rented,,2023,10
XxvU-19879-033,246,2015-01-16,Rented,,2015,1
kiEb-19372-772,155,2021-02-25,Rented,,2021,2
zUkU-99410-264,409,2016-09-27,Rented,,2016,9
FawJ-70578-938,635,2019-04-05,Rented,,2019,4
VSJK-79438-329,398,2016-08-17,Rented,,2016,8
yoCM-53101-845,618,2022-01-13,Rented,,2022,1
NVqV-00293-927,701,2020-05-23,Rented,,2020,5
qgBo-92543-484,562,2020-02-22,Rented,,2020,2
QTiY-76182-959,445,2022-05-28,Rented,,2022,5
Xail-91070-444,710,2023-08-07,Rented,,2023,8
LxQV-61292-690,45,2023-02-08,Rented,,2023,2
wrUz-46673-403,710,2018-07-31,Rented,,2018,7
ZJVq-89733-808,565,2018-08-10,Rented,,2018,8
gKfn-36321-460,858,2017-05-30,Rented,,2017,5
sNlW-34353-568,398,2019-02-14,Rented,,2019,2
tgpb-45148-431,200,2018-11-18,Rented,,2018,11
NwvA-04650-324,87,2016-11-15,Rented,,2016,11
Qiol-99916-989,987,2022-01-27,Rented,,2022,1
WEnP-16491-578,99,2015-07-28,Rented,,2015,7
iWWG-42591-841,66,2018-05-26,Rented,,2018,5
HfJw-33078-005,335,2022-06-27,Rented,,2022,6
HubG-53473-606,837,2020-04-27,Rented,,2020,4
rgNu-05975-011,14,2018-08-18,Rented,,2018,8
ENqg-18917-288,893,2019-09-05,Rented,,2019,9
vXmz-24270-480,219,2019-05-11,Rented,,2019,5
ECjc-74734-130,283,2015-11-05,Rented,,2015,11
ZxwA-61010-708,636,2021-01-21,Rented,,2021,1
HzHS-24745-500,173,2023-06-26,Rented,,2023,6
eVek-43040-107,775,2016-05-24,Rented,,2016,5
BqsB-13733-298,809,2016-06-20,Rented,,2016,6
csRq-16072-877,713,2015-09-01,Rented,,2015,9
OQGs-21557-563,421,2015-08-31,Rented,,2015,8
KGqe-33341-697,686,2017-04-10,Rented,,2017,4
mYjR-27720-139,561,2019-03-27,Rented,,2019,3
CQGl-30606-820,38,2021-03-11,Rented,,2021,3
jDND-79390-692,47,2022-10-17,Rented,,2022,10
hmmQ-36469-937,479,2017-11-06,Rented,,2017,11
DHBc-60019-972,464,2021-05-23,Rented,,2021,5
XayV-91423-630,319,2021-03-07,Rented,,2021,3
cmVV-82520-340,231,2023-01-04,Rented,,2023,1
FFKF-20595-103,826,2017-01-08,Rented,,2017,1
lOtQ-62432-512,751,2017-12-15,Rented,,2017,12
xvXJ-99858-203,957,2015-04-24,Rented,,2015,4
vxIc-86490-259,121,2023-04-06,Rented,,2023,4
KSVC-26709-785,235,2022-08-09,Rented,,2022,8
eNfu-79374-160,855,2017-11-21,Rented,,2017,11
OgfQ-89535-504,719,2021-03-21,Rented,,2021,3
